query_model,db_model,dim_x,dim_y,same_dim,K,seed,sim_mean,method,zscore_applied,alpha,recall_at_1,recall_at_5,recall_at_10,mrr,median_rank
A,P,384,384,True,50,314,-0.0023750117979943752,Affine,,100.0,0.002,0.01,0.02,0.01359129752458794,250
A,P,384,384,True,100,314,0.0069157131947577,RAT,True,,0.0,0.004,0.01,0.009902356219002643,252
A,P,384,384,True,100,314,0.0069157131947577,Procrustes,,,0.0,0.012,0.018,0.012418127513819273,259
A,P,384,384,True,100,314,0.0069157131947577,Ridge,,100.0,0.002,0.01,0.014,0.012907278599727264,254
A,P,384,384,True,100,314,0.0069157131947577,Affine,,100.0,0.002,0.01,0.02,0.01356398224463035,250
A,P,384,384,True,200,314,0.012948459945619106,RAT,True,,0.002,0.008,0.012,0.013496718876496045,238
A,P,384,384,True,200,314,0.012948459945619106,Procrustes,,,0.0,0.012,0.018,0.012890945456282223,250
A,P,384,384,True,200,314,0.012948459945619106,Ridge,,0.01,0.006,0.02,0.024,0.018816451299794545,255
A,P,384,384,True,200,314,0.012948459945619106,Affine,,0.0001,0.002,0.018,0.03,0.017412044689587024,252
A,P,384,384,True,500,314,0.019699418917298317,RAT,True,,0.002,0.014,0.02,0.014601456689446797,256
A,P,384,384,True,500,314,0.019699418917298317,Procrustes,,,0.002,0.016,0.03,0.014535388548507491,250
A,P,384,384,True,500,314,0.019699418917298317,Ridge,,1.0,0.002,0.01,0.022,0.013868293371525335,261
A,P,384,384,True,500,314,0.019699418917298317,Affine,,0.0001,0.002,0.018,0.026,0.016383255491128765,263
A,Q,384,1024,False,10,314,-0.03529377654194832,RAT,True,,0.004,0.012,0.014,0.014489557437328193,254
A,Q,384,1024,False,10,314,-0.03529377654194832,Ridge,,0.0001,0.002,0.002,0.008,0.010770250632688806,244
A,Q,384,1024,False,10,314,-0.03529377654194832,Affine,,1.0,0.002,0.004,0.018,0.012113273553935098,255
A,Q,384,1024,False,25,314,-0.009995854459702969,RAT,True,,0.002,0.01,0.02,0.012992415341579413,261
A,Q,384,1024,False,25,314,-0.009995854459702969,Ridge,,0.0001,0.002,0.006,0.014,0.013146867144608483,255
A,Q,384,1024,False,25,314,-0.009995854459702969,Affine,,1.0,0.002,0.008,0.016,0.012527012022755194,248
A,Q,384,1024,False,50,314,-0.0023750117979943752,RAT,True,,0.004,0.012,0.014,0.015746834402626576,254
A,Q,384,1024,False,50,314,-0.0023750117979943752,Ridge,,0.0001,0.004,0.014,0.028,0.016711029857122812,256
A,Q,384,1024,False,50,314,-0.0023750117979943752,Affine,,0.0001,0.002,0.01,0.026,0.014416578438969197,259
A,Q,384,1024,False,100,314,0.0069157131947577,RAT,True,,0.0,0.01,0.02,0.012092794370274742,254
A,Q,384,1024,False,100,314,0.0069157131947577,Ridge,,0.0001,0.002,0.006,0.028,0.014605188228287163,254
A,Q,384,1024,False,100,314,0.0069157131947577,Affine,,1.0,0.004,0.016,0.02,0.015533346962037982,250
